order_id,customer_id,order_date,category,quantity,unit_price,revenue,status,city
ORD000001,CUST4370,2022-01-01,Home & Kitchen,4,167.72,670.88,Returned,Hyderabad
ORD000002,CUST3775,2022-01-01,Beauty,3,50.92,152.76,Delivered,Chennai
ORD000003,CUST2074,2022-01-01,Electronics,4,300.32,1201.28,Delivered,Ahmedabad
ORD000004,CUST3774,2022-01-01,Books,2,18.76,37.52,Delivered,Surat
ORD000005,CUST3774,2022-01-01,Electronics,4,278.71,1114.84,Delivered,Ahmedabad
ORD000006,CUST3283,2022-01-01,Sports,4,133.99,535.96,Delivered,Hyderabad
ORD000007,CUST3772,2022-01-01,Beauty,3,12.42,37.26,Delivered,Delhi
ORD000008,CUST3285,2022-01-01,Electronics,2,77.65,155.3,Delivered,Hyderabad
ORD000009,CUST2747,2022-01-01,Clothing,3,17.48,52.44,Delivered,Bangalore
ORD000010,CUST3766,2022-01-01,Sports,2,31.75,63.5,Returned,Bangalore
ORD000011,CUST2743,2022-01-01,Books,3,21.74,65.22,Delivered,Bangalore
ORD000012,CUST3763,2022-01-01,Electronics,4,100.55,402.2,Delivered,Pune
ORD000013,CUST2085,2022-01-01,Books,1,15.31,15.31,Delivered,Mumbai
ORD000014,CUST2742,2022-01-01,Electronics,3,163.27,489.81,Delivered,Hyderabad
ORD000015,CUST2089,2022-01-01,Electronics,2,226.2,452.4,Returned,Jaipur
ORD000016,CUST3776,2022-01-01,Electronics,4,408.99,1635.96,Delivered,Pune
ORD000017,CUST2093,2022-01-01,Electronics,3,386.61,1159.83,Delivered,Pune
ORD000018,CUST3290,2022-01-01,Home & Kitchen,2,93.37,186.74,Delivered,Delhi
ORD000019,CUST2742,2022-01-01,Sports,3,83.14,249.42,Delivered,Jaipur
ORD000020,CUST3757,2022-01-01,Books,1,14.21,14.21,Returned,Kolkata
ORD000021,CUST2742,2022-01-01,Home & Kitchen,2,135.8,271.6,Delivered,Jaipur
ORD000022,CUST2100,2022-01-01,Clothing,2,16.4,32.8,Delivered,Pune
ORD000023,CUST2101,2022-01-01,Books,3,29.48,88.44,Delivered,Ahmedabad
ORD000024,CUST2741,2022-01-01,Electronics,3,266.17,798.51,Delivered,Surat
ORD000025,CUST3753,2022-01-01,Books,4,12.87,51.48,Delivered,Bangalore
ORD000026,CUST3750,2022-01-01,Beauty,3,53.69,161.07,Delivered,Pune
ORD000027,CUST3292,2022-01-01,Electronics,4,314.94,1259.76,Delivered,Jaipur
ORD000028,CUST2112,2022-01-01,Electronics,2,482.99,965.98,Delivered,Delhi
