customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment,Avg_Order_Value
CUST1001,36,13,6184.35,3,4,4,New,475.7192307692308
CUST1002,15,28,14420.82,4,4,4,Champions,515.0292857142857
CUST1003,37,27,14408.72,3,4,4,New,533.6562962962963
CUST1004,59,21,6076.05,3,4,4,New,289.3357142857143
CUST1005,32,20,8228.02,4,4,4,Champions,411.401
CUST1006,52,15,6407.73,3,4,4,New,427.18199999999996
CUST1007,5,18,8355.0,4,4,4,Champions,464.1666666666667
CUST1008,8,29,11828.09,4,4,4,Champions,407.8651724137931
CUST1009,32,14,4752.99,4,4,4,Champions,339.4992857142857
CUST1010,32,19,5705.83,4,4,4,Champions,300.3068421052632
CUST1011,45,21,7256.85,3,4,4,New,345.56428571428575
CUST1012,4,16,6064.92,4,4,4,Champions,379.0575
CUST1013,21,17,8394.61,4,4,4,Champions,493.80058823529413
CUST1014,14,30,13736.59,4,4,4,Champions,457.8863333333333
CUST1015,51,23,13012.75,3,4,4,New,565.7717391304348
CUST1016,45,18,5626.43,3,4,4,New,312.57944444444445
CUST1017,13,18,9853.82,4,4,4,Champions,547.4344444444445
CUST1018,45,12,5871.22,3,4,4,New,489.2683333333334
CUST1019,23,19,7456.34,4,4,4,Champions,392.43894736842105
CUST1020,7,26,8910.88,4,4,4,Champions,342.7261538461538
CUST1021,54,27,10157.27,3,4,4,New,376.1951851851852
CUST1022,20,15,4080.54,4,4,4,Champions,272.036
CUST1023,45,30,12330.27,3,4,4,New,411.009
CUST1024,12,29,10764.33,4,4,4,Champions,371.1837931034483
CUST1025,37,26,7073.5599999999995,3,4,4,New,272.06
CUST1026,50,26,8613.99,3,4,4,New,331.3073076923077
CUST1027,50,14,4557.64,3,4,4,New,325.5457142857143
CUST1028,8,12,5268.22,4,4,4,Champions,439.0183333333334
CUST1029,13,29,8804.58,4,4,4,Champions,303.6062068965517
CUST1030,40,27,10247.49,3,4,4,New,379.53666666666663
CUST1031,38,23,9237.54,3,4,4,New,401.6321739130435
CUST1032,9,17,6658.07,4,4,4,Champions,391.6511764705882
CUST1033,24,12,3326.81,4,4,4,Champions,277.2341666666667
CUST1034,55,16,4700.58,3,4,4,New,293.78625
CUST1035,17,26,7628.95,4,4,4,Champions,293.42115384615386
CUST1036,48,22,11669.03,3,4,4,New,530.4104545454546
CUST1037,17,12,4291.549999999999,4,4,4,Champions,357.6291666666666
CUST1038,45,16,5445.91,3,4,4,New,340.369375
CUST1039,18,17,9577.050000000001,4,4,4,Champions,563.3558823529412
CUST1040,33,22,7314.37,4,4,4,Champions,332.4713636363636
CUST1041,29,19,7797.55,4,4,4,Champions,410.39736842105265
CUST1042,43,29,16246.369999999999,3,4,4,New,560.2196551724138
CUST1043,55,29,9828.01,3,4,4,New,338.8968965517241
CUST1044,41,16,6270.55,3,4,4,New,391.909375
CUST1045,59,22,10945.92,3,4,4,New,497.5418181818182
CUST1046,41,21,8467.43,3,4,4,New,403.2109523809524
CUST1047,53,17,8888.21,3,4,4,New,522.8358823529411
CUST1048,6,19,7094.27,4,4,4,Champions,373.3826315789474
CUST1049,54,26,11060.59,3,4,4,New,425.4073076923077
CUST1050,43,13,3275.0299999999997,3,4,4,New,251.9253846153846
CUST1051,57,26,4784.08,3,4,4,New,184.00307692307692
CUST1052,3,18,5117.25,4,4,4,Champions,284.2916666666667
CUST1053,31,13,5573.47,4,4,4,Champions,428.72846153846154
CUST1054,35,12,7253.740000000001,3,4,4,New,604.4783333333334
CUST1055,29,15,3173.14,4,4,4,Champions,211.54266666666666
CUST1056,13,15,5776.86,4,4,4,Champions,385.12399999999997
CUST1057,39,26,11366.47,3,4,4,New,437.17192307692306
CUST1058,39,22,9349.36,3,4,4,New,424.9709090909091
CUST1059,37,24,9419.01,3,4,4,New,392.45875
CUST1060,21,12,3634.02,4,4,4,Champions,302.835
CUST1061,2,18,5899.05,4,4,4,Champions,327.725
CUST1062,56,19,7645.35,3,4,4,New,402.38684210526316
CUST1063,21,29,9955.25,4,4,4,Champions,343.2844827586207
CUST1064,60,17,13048.039999999999,3,4,4,New,767.5317647058823
CUST1065,55,25,10631.95,3,4,4,New,425.278
CUST1066,39,15,6984.41,3,4,4,New,465.6273333333333
CUST1067,2,21,7317.85,4,4,4,Champions,348.4690476190476
CUST1068,32,16,4103.99,4,4,4,Champions,256.499375
CUST1069,13,14,4078.2,4,4,4,Champions,291.3
CUST1070,50,23,8614.98,3,4,4,New,374.56434782608693
CUST1071,19,14,5394.2,4,4,4,Champions,385.3
CUST1072,41,17,5809.68,3,4,4,New,341.7458823529412
CUST1073,52,22,8891.25,3,4,4,New,404.14772727272725
CUST1074,28,24,8689.93,4,4,4,Champions,362.0804166666667
CUST1075,51,15,8768.869999999999,3,4,4,New,584.5913333333333
CUST1076,24,22,7728.88,4,4,4,Champions,351.3127272727273
CUST1077,22,24,13652.5,4,4,4,Champions,568.8541666666666
CUST1078,26,13,3828.85,4,4,4,Champions,294.5269230769231
CUST1079,23,24,11020.52,4,4,4,Champions,459.18833333333333
CUST1080,32,28,15989.06,4,4,4,Champions,571.0378571428571
CUST1081,12,20,12416.86,4,4,4,Champions,620.8430000000001
CUST1082,42,25,9957.38,3,4,4,New,398.29519999999997
CUST1083,24,26,12681.78,4,4,4,Champions,487.76076923076926
CUST1084,20,24,6399.28,4,4,4,Champions,266.63666666666666
CUST1085,8,17,9804.56,4,4,4,Champions,576.7388235294118
CUST1086,38,27,9732.81,3,4,4,New,360.47444444444443
CUST1087,53,27,8443.27,3,4,4,New,312.71370370370374
CUST1088,23,29,13284.2,4,4,4,Champions,458.07586206896553
CUST1089,51,29,9086.5,3,4,4,New,313.32758620689657
CUST1090,15,20,7750.599999999999,4,4,4,Champions,387.53
CUST1091,25,18,6273.4400000000005,4,4,4,Champions,348.5244444444445
CUST1092,30,14,3151.69,4,4,4,Champions,225.12071428571429
CUST1093,24,20,8063.7,4,4,4,Champions,403.185
CUST1094,58,22,8392.23,3,4,4,New,381.465
CUST1095,54,30,14317.85,3,4,4,New,477.26166666666666
CUST1096,40,19,10524.88,3,4,4,New,553.9410526315789
CUST1097,14,25,9804.1,4,4,4,Champions,392.164
CUST1098,56,17,5378.85,3,4,4,New,316.4029411764706
CUST1099,46,20,9521.67,3,4,4,New,476.0835
CUST1100,11,13,4391.01,4,4,4,Champions,337.77000000000004
CUST1101,48,13,5339.08,3,4,4,New,410.6984615384615
CUST1102,56,30,11767.05,3,4,4,New,392.23499999999996
CUST1103,54,24,4977.2699999999995,3,4,4,New,207.38625
CUST1104,53,24,12331.74,3,4,4,New,513.8225
CUST1105,53,15,5967.210000000001,3,4,4,New,397.8140000000001
CUST1106,8,27,9855.25,4,4,4,Champions,365.00925925925924
CUST1107,18,22,8348.05,4,4,4,Champions,379.45681818181816
CUST1108,44,20,9191.779999999999,3,4,4,New,459.58899999999994
